 Location:  0N 165E  13 Dec 1986 to 19 Oct 2020 ( 2472 times, 11 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST Q
1998_05_27 1200 28.36 2
1998_06_01 1200 28.01 2
1998_06_06 1200 27.86 2
1998_06_11 1200 28.36 2
1998_06_16 1200 28.5 2
1998_06_21 1200 28.51 2
1998_06_26 1200 28.64 2
1998_07_01 1200 28.96 2
1998_07_06 1200 28.74 2
1998_07_11 1200 28.85 1
1998_07_16 1200 28.82 1
1998_07_21 1200 28.42 1
1998_07_26 1200 28.25 1
1998_07_31 1200 28.22 1
1998_08_05 1200 28.39 1
1998_08_10 1200 28.28 1
1998_08_15 1200 28.24 1
1998_08_20 1200 28.33 1
1998_08_25 1200 28.57 1
1998_08_30 1200 28.59 1
1998_09_04 1200 28.52 1
1998_09_09 1200 28.53 1
1998_09_14 1200 28.21 1
1998_09_19 1200 28.61 1
1998_09_24 1200 28.33 1
1998_09_29 1200 27.95 1
1998_10_04 1200 28.13 1
1998_10_09 1200 27.65 1
1998_10_14 1200 27.83 1
1998_10_19 1200 27.96 1
1998_10_24 1200 27.42 1
1998_10_29 1200 27.46 1
1998_11_03 1200 27.54 1
1998_11_08 1200 27.74 1
1998_11_13 1200 27.62 1
1998_11_18 1200 27.81 1
1998_11_23 1200 28.34 1
1998_11_28 1200 28.57 1
1998_12_03 1200 28.93 1
1998_12_08 1200 29.07 1
1998_12_13 1200 28.72 1
1998_12_18 1200 28.81 1
1998_12_23 1200 28.34 1
1998_12_28 1200 28.23 1
1999_01_02 1200 27.97 1
1999_01_07 1200 28.22 1
1999_01_12 1200 29.14 1
1999_01_17 1200 28.51 1
1999_01_22 1200 27.51 1
1999_01_27 1200 26.64 1
1999_02_01 1200 26.41 1
1999_02_06 1200 27.45 1
1999_02_11 1200 27.36 1
1999_02_16 1200 27.01 1
1999_02_21 1200 26.62 1
1999_02_26 1200 26.87 1
1999_03_03 1200 27.01 1
1999_03_08 1200 26.71 1
1999_03_13 1200 26.89 1
1999_03_18 1200 27.28 1
1999_03_23 1200 27.42 1
1999_03_28 1200 27.61 1
1999_04_02 1200 27.66 1
1999_04_07 1200 27.52 1
1999_04_12 1200 27.64 1
1999_04_17 1200 27.46 1
1999_04_22 1200 27.26 1
1999_04_27 1200 27.21 1
1999_05_02 1200 27.67 1
1999_05_07 1200 28.17 1
1999_05_12 1200 28.32 1
1999_05_17 1200 28.3 1
1999_05_22 1200 28.32 1
1999_05_27 1200 28.27 1
1999_06_01 1200 28.42 1
