 Location:  0N 110W   8 Mar 1980 to 18 Nov 2020 ( 2972 times, 18 blocks) Gen. Date Apr 20 2021
 Units: Sea Surface Temperature (C), -9.99 = missing
YYYY_MM_DD HHMM SST QUALITY
1988_03_03 1200 27.43 2
1988_03_08 1200 26.63 2
1988_03_13 1200 26.26 2
1988_03_18 1200 26.34 2
1988_03_23 1200 24.56 2
1988_03_28 1200 23.05 2
1988_04_02 1200 23.51 2
1988_04_07 1200 23.35 2
1988_04_12 1200 24.89 2
1988_04_17 1200 23.36 2
1988_04_22 1200 22.75 2
1988_04_27 1200 23.01 2
1988_05_02 1200 22.35 2
1988_05_07 1200 22.73 2
1988_05_12 1200 22.61 2
1988_05_17 1200 21.29 2
1988_05_22 1200 19.14 2
1988_05_27 1200 20.14 2
1988_06_01 1200 20.75 2
1988_06_06 1200 19.83 2
1988_06_11 1200 20.42 2
1988_06_16 1200 21.13 2
1988_06_21 1200 20.85 2
1988_06_26 1200 22.29 2
1988_07_01 1200 23.21 2
1988_07_06 1200 21.74 2
1988_07_11 1200 21.51 2
1988_07_16 1200 21.33 2
1988_07_21 1200 20.89 2
1988_07_26 1200 21.58 2
1988_07_31 1200 20.68 2
1988_08_05 1200 20.19 2
1988_08_10 1200 20.11 2
1988_08_15 1200 20.05 2
1988_08_20 1200 21.72 2
1988_08_25 1200 21.3 2
1988_08_30 1200 21.05 2
1988_09_04 1200 20.68 2
1988_09_09 1200 21.32 2
1988_09_14 1200 21.14 2
1988_09_19 1200 21.11 2
1988_09_24 1200 20.38 2
1988_09_29 1200 19.97 2
1988_10_04 1200 20.52 2
1988_10_09 1200 21.17 2
1988_10_14 1200 21.1 2
1988_10_19 1200 20.06 2
1988_10_24 1200 20.63 2
1988_10_29 1200 20.46 2
1988_11_03 1200 20.34 2
1988_11_08 1200 19.94 2
1988_11_13 1200 20.31 2
1988_11_18 1200 20.3 2
1988_11_23 1200 18.51 2
1988_11_28 1200 18.42 2
1988_12_03 1200 18.68 2
1988_12_08 1200 19.03 2
1988_12_13 1200 18.19 2
1988_12_18 1200 19.18 2
1988_12_23 1200 19.21 2
1988_12_28 1200 20.1 2
1989_01_02 1200 20.69 2
1989_01_07 1200 20.17 2
1989_01_12 1200 21.03 2
1989_01_17 1200 20.42 2
1989_01_22 1200 21.92 2
1989_01_27 1200 24.74 2
1989_02_01 1200 23.89 2
1989_02_06 1200 23.28 2
1989_02_11 1200 23.68 2
1989_02_16 1200 25.88 2
1989_02_21 1200 26.8 2
1989_02_26 1200 25.29 2
1989_03_03 1200 24.57 2
1989_03_08 1200 24.98 2
1989_03_13 1200 24.73 2
1989_03_18 1200 24.39 2
1989_03_23 1200 25.31 2
1989_03_28 1200 24.99 2
1989_04_02 1200 24.51 2
1989_04_07 1200 24.64 2
