Stock,Gear Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Skipjack tuna in the East Atlantic,Gear not known,3906,2528,3054,2242,1328,219,1640,1040,1506,1633,1224,2047,1579,1064,501,488,509,309,1099,469,2513,841,713,564,856,1913,2414,2201,2774,4822,4709
Skipjack tuna in the East Atlantic,Longlines (nei),7,49,16,417,22,6,19,6,4,9,0,5,3,2,10,3,7,47,85,41,49,53,58,83,336,471,2965,1638,1195,1557,1065
Skipjack tuna in the East Atlantic,Mechanized lines and pole-and-lines,38159,38928,44488,34873,28085,29868,30009,38803,48015,41000,36922,41611,35660,31656,37816,33691,32047,37292,42045,37696,29975,46280,27591,29847,39539,43602,41175,29719,44105,33580,37156
Skipjack tuna in the East Atlantic,Purse seines,56734,68068,76529,67912,62345,48706,59045,55216,71535,51385,80082,142645,103289,139741,116736,111339,94002,76723,79383,100926,86764,77105,66819,90051,90514,87737,68967,80125,73018,82862,121331
Skipjack tuna in the East Atlantic,Trolling lines,0,0,0,0,0,0,0,0,0,10,133,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,29
Skipjack tuna in the East Pacific,Gear not known,1938,909,382,710,836,182,132,178,662,1020,1874,1909,1030,2256,730,1911,1259,96,237,1393,66,34,118,2809,1119,1779,986,1065,1163,1111,1269
Skipjack tuna in the East Pacific,Longlines (nei),26,20,28,28,32,44,58,37,26,28,41,36,24,61,73,77,52,135,294,201,68,1214,261,601,700,231,224,107,56,185,143
Skipjack tuna in the East Pacific,Mechanized lines and pole-and-lines,5225,5906,3760,4387,2884,946,1921,2233,4325,2940,823,1717,1957,3772,3240,5253,2555,3260,1684,2044,231,448,616,639,530,1299,435,276,501,151,47
Skipjack tuna in the East Pacific,Purse seines,130912,119165,100499,56851,59859,50829,65634,64019,87113,94934,74369,62228,84283,83830,70126,127047,103973,153456,140631,261565,205644,143166,153546,273968,197824,263229,296269,208296,296603,230525,147192
Skipjack tuna in the West Atlantic,Gear not known,149,410,390,653,842,567,1657,517,350,594,593,865,760,708,1575,2014,451,547,515,480,467,950,339,128,131,29,83,1109,187,880,888
