Bigeye tuna Global,Canada,Gear not known,41,,21,,14,,21,,8,,18,,25,,6,,24,,5,,6,
Bigeye tuna Global,Canada,Longlines (nei),285,,220,,265,,161,,135,,169,,172,,137,,107,,107,,97,
Bigeye tuna Global,China,Longlines (nei),11243,,15071,,18557,,31489,,26837,,23570,,26402,,24711,,21790,,21681,,20032,
Bigeye tuna Global,France,Gear not known,20,,6,,48,,5,,6,,310,,14,,243,,0,-,0,-,0,-
Bigeye tuna Global,France,Longlines (nei),162,,74,,51,,66,,127,,631,,561,,712,,503,,351,,320,
Bigeye tuna Global,France,Mechanized lines and pole-and-lines,1921,,1593,,786,,758,,587,,597,,571,,1130,,141,,269,,156,
Bigeye tuna Global,France,Purse seines,10686,,9272,,10897,,8517,,8152,,8394,,7844,,7148,,8598,,9033,,8193,
Bigeye tuna Global,India,Longlines (nei),3,,0,-,0,-,0,-,3931,,2279,,4268,,3585,,1700,,3913,,2951,
Bigeye tuna Global,Indonesia,Gear not known,3102,,2842,,3054,,2754,,1635,,1684,,3363,,4580,,5226,,7799,,7841,
Bigeye tuna Global,Indonesia,Longlines (nei),21657,,22895,,28478,,15465,,14056,,12136,,11909,,13505,,16070,,12202,,12478,
Bigeye tuna Global,Indonesia,Mechanized lines and pole-and-lines,3731,,2897,,2485,,2012,,2197,,2684,,2859,,2180,,3038,,1812,,1812,
Bigeye tuna Global,Indonesia,Purse seines,176,,178,,160,,170,,207,,186,,214,,237,,295,,286,,286,
Bigeye tuna Global,Indonesia,Trolling lines,981,,875,,690,,635,,663,,501,,474,,525,,655,,633,,633,
Bigeye tuna Global,Japan,Gear not known,14,,29,,35,,37,,26,,106,,50,,68,,93,,105,,105,
Bigeye tuna Global,Japan,Longlines (nei),94763,,96643,,92954,,80535,,79638,,68704,,71575,,76214,,64865,,57619,,49493,
Bigeye tuna Global,Japan,Mechanized lines and pole-and-lines,1917,,1377,,1757,,857,,3393,,1334,,3820,,1977,,1604,,1570,,2242,
Bigeye tuna Global,Japan,Purse seines,747,,592,,649,,812,,524,,849,,547,,987,,965,,1571,,606,
Bigeye tuna Global,Japan,Trolling lines,190,,182,,126,,105,,83,,135,,101,,124,,138,,115,,115,
Bigeye tuna Global,"Korea, Republic of",Longlines (nei),40826,,36304,,39170,,28721,,31830,,30623,,26355,,19124,,24255,,24618,,26049,
Bigeye tuna Global,Libya,Longlines (nei),400,,31,,593,,593,,0,-,0,-,4,,0,-,0,-,0,-,0,-
Bigeye tuna Global,Madagascar,Longlines (nei),0,-,0,-,2,,2,,0,-,155,,31,,32,,23,,22,,66,
Bigeye tuna Global,Madagascar,Trolling lines,32,,33,,33,,32,,32,,28,,30,,31,,30,,33,,33,
Bigeye tuna Global,Mexico,Longlines (nei),44,,3,,7,,4,,5,,4,,3,,3,,1,,1,,3,
Bigeye tuna Global,Mexico,Purse seines,0,-,0,-,0,-,0,-,0,-,0,-,6,,0,-,327,,1334,,11,
Bigeye tuna Global,Morocco,Gear not known,770,,857,,913,,889,,929,,0,-,0,-,0,-,0,-,0,-,0,-
Bigeye tuna Global,Morocco,Longlines (nei),0,-,0,-,0,-,0,-,0,-,519,,887,,700,,802,,795,,276,
Bigeye tuna Global,New Zealand,Gear not known,0,-,0,-,1,,1,,8,,1,,1,,0,-,1,,0,-,0,-
Bigeye tuna Global,New Zealand,Longlines (nei),421,,481,,201,,204,,177,,175,,177,,213,,133,,253,,131,
Bigeye tuna Global,Philippines,Gear not known,5043,,4410,,4389,,4941,,4618,,3273,,3662,,3547,,3074,,3565,,2267,
Bigeye tuna Global,Philippines,Longlines (nei),2327,,1330,,1674,,2270,,2838,,3278,,3657,,4531,,3809,,2473,,1702,
Bigeye tuna Global,Portugal,Gear not known,0,-,0,-,0,-,0,-,0,-,93,,2,,0,-,64,,0,-,283,
Bigeye tuna Global,Portugal,Longlines (nei),1,,0,-,170,,82,,41,,327,,457,,659,,606,,468,,537,
Bigeye tuna Global,Portugal,Mechanized lines and pole-and-lines,1497,,1605,,2421,,1572,,3161,,3721,,4627,,4871,,2738,,5121,,2872,
Bigeye tuna Global,Senegal,Gear not known,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,7,
Bigeye tuna Global,Senegal,Longlines (nei),0,-,0,-,0,-,0,-,0,-,0,-,33,,3,,0,-,0,-,0,-
